order_id,execution_id,audit_id,event_id,event_name,league,market,side,line,odd_at_decision,odd_final,sent_stake,live_ok_ts,kickoff,event_end_heuristic,accounting_latest_file,accounting_latest_mtime,settlement_status,amount_pnl,got_price,settlement_post_date,note,in_open_stakes,reconciliation_status,source_balance_file_hit,n_balance_hits,pre_submit_ms,slippage_pre_pct,limit_final,audit_audited_at,shadow_created_at
1931674091,693ee6d7-5471-4b12-bf63-fc763c9906b5,419662,"2026-07-28,60848,652",Lincoln Red Imps vs Mjällby AIF,UEFA Champions League,AH,away,3,1.882,1.862,10.0,2026-07-28T15:30:30.534613+00:00,2026-07-28T16:00:00+00:00,2026-07-28T18:30:00+00:00,20260728_220133__balance.csv,2026-07-28T22:01:54.793806+00:00,settled,-9.97,1.8630000000,2026-07-28 17:57:35.126915,Settlement of Bet 14423080128,False,SETTLED_ACCOUNTING_OK,20260728_220133__balance.csv,2,1222,-1.06269925611051,655.3063,2026-07-28T15:30:22.204611+00:00,2026-07-28T15:30:22.276440+00:00
1932353274,f1918965-9811-4c30-b7f6-0cff33762dad,419935,"2026-07-28,324,10003088",Shamrock Rovers FC (IRE) vs Ararat Armenia,UEFA Champions League,AH,away,-4,1.892,1.877,10.0,2026-07-28T17:58:48.334722+00:00,2026-07-28T19:00:00+00:00,2026-07-28T21:30:00+00:00,20260728_220133__balance.csv,2026-07-28T22:01:54.793806+00:00,settled,0.00,1.8770000000,2026-07-28 21:06:11.353088,Settlement of Bet 14423097725,False,VOID_OR_PUSH,20260728_220133__balance.csv,2,1129,-0.7928118393234621,321.2393,2026-07-28T17:58:38.662355+00:00,2026-07-28T17:58:38.831972+00:00
1933822208,ccd3c23a-ada8-41e4-94f0-a0b23ad674a3,420463,"2026-07-29,23470,23456",Bogota FC vs Deportivo Pasto,Colombia Cup,AH,away,2,1.98,1.945,10.0,2026-07-28T23:59:02.813024+00:00,2026-07-29T00:00:00+00:00,2026-07-29T02:30:00+00:00,20260728_220133__balance.csv,2026-07-28T22:01:54.793806+00:00,,,,,,False,SETTLED_MISSING_ACCOUNTING,,0,1105,-1.7676767676767637,129.5895,2026-07-28T23:58:55.820247+00:00,2026-07-28T23:58:55.984658+00:00
1934662052,c015f8c4-e10c-466e-9c56-da7b9858555b,420839,"2026-07-30,1583,1624",CA Bragantino (SP) vs Sporting Cristal,CONMEBOL Copa Sudamericana,AH,home,-6,1.952,1.914,10.0,2026-07-29T04:00:57.446603+00:00,2026-07-30T00:30:00+00:00,2026-07-30T03:00:00+00:00,20260728_220133__balance.csv,2026-07-28T22:01:54.793806+00:00,,,,,,False,EVENT_NOT_STARTED,,0,1261,-1.9467213114754116,122.1849,2026-07-29T04:00:51.148365+00:00,2026-07-29T04:00:51.417421+00:00
1934994839,e8a4c6bd-4eab-448b-b77a-6c6f0b407cbe,421000,"2026-07-29,23475,29682",Barranquilla FC vs CPD Junior Barranquilla,Colombia Cup,AH,home,3,1.961,1.934,10.0,2026-07-29T07:51:59.550911+00:00,2026-07-29T22:30:00+00:00,2026-07-30T01:00:00+00:00,20260728_220133__balance.csv,2026-07-28T22:01:54.793806+00:00,,,,,,False,EVENT_NOT_STARTED,,0,1115,-1.3768485466598743,120.6398,2026-07-29T07:51:49.680518+00:00,2026-07-29T07:51:49.986515+00:00
1935045057,3b615f29-d760-4b2b-ab21-e6e1b891a268,421030,"2026-07-29,10059479,10088422",Internacional FC de Palmira vs Internacional de Bogotá,Colombia Cup,AH,home,-1,2.038,2.03,10.0,2026-07-29T08:28:34.829642+00:00,2026-07-29T22:00:00+00:00,2026-07-30T00:30:00+00:00,20260728_220133__balance.csv,2026-07-28T22:01:54.793806+00:00,,,,,,False,EVENT_NOT_STARTED,,0,1155,-0.39254170755642825,112.7673,2026-07-29T08:28:25.812988+00:00,2026-07-29T08:28:25.868612+00:00
1935402833,4b3ed54f-455f-4ba9-91f1-241e175d3236,421392,"2026-07-29,11,70",Bradford City FC vs Preston North End,Club Friendly,AH,away,1,2.068,1.94,10.0,2026-07-29T10:42:51.620390+00:00,2026-07-29T18:30:00+00:00,2026-07-29T21:00:00+00:00,20260728_220133__balance.csv,2026-07-28T22:01:54.793806+00:00,,,,,,False,EVENT_NOT_STARTED,,0,4785,-6.189555125725344,502.79,2026-07-29T10:42:41.443104+00:00,2026-07-29T10:42:41.715554+00:00
1935460146,069e7402-86ec-460d-ae61-d7c00b919341,421512,"2026-07-29,184,305",Real Betis vs Lyon,Club Friendly,AH,away,0,2.029,1.99,10.0,2026-07-29T10:59:28.824896+00:00,2026-07-29T18:00:00+00:00,2026-07-29T20:30:00+00:00,20260728_220133__balance.csv,2026-07-28T22:01:54.793806+00:00,,,,,,False,EVENT_NOT_STARTED,,0,1223,-1.9221291276490846,113.924,2026-07-29T10:59:22.281190+00:00,2026-07-29T10:59:22.377617+00:00
1935475500,c80dcf77-36d8-4289-b703-ff79cf38b918,421546,"2026-07-29,244,1283",US Città di Palermo vs Iraklis FC Thessaloniki,Club Friendly,AH,away,-6,1.892,1.821,10.0,2026-07-29T11:04:29.919987+00:00,2026-07-29T15:00:00+00:00,2026-07-29T17:30:00+00:00,20260728_220133__balance.csv,2026-07-28T22:01:54.793806+00:00,,,,,,False,EVENT_NOT_STARTED,,0,1113,-3.7526427061310756,173.4944,2026-07-29T11:04:21.288256+00:00,2026-07-29T11:04:22.557742+00:00
1935568718,979a9f1e-faae-49a0-b8b3-cf2a01be91a4,421737,"2026-07-29,92,229",Watford vs Fiorentina,Club Friendly,AH,away,1,1.999,1.92,10.0,2026-07-29T11:28:19.728835+00:00,2026-07-29T18:30:00+00:00,2026-07-29T21:00:00+00:00,20260728_220133__balance.csv,2026-07-28T22:01:54.793806+00:00,,,,,,False,EVENT_NOT_STARTED,,0,2214,-3.951975987994006,502.7673,2026-07-29T11:28:08.442319+00:00,2026-07-29T11:28:10.695271+00:00
