coverage,max,mean,median,metric,min,missing,n_calculable,n_total,negatives,outliers,p75,p90,p95,p99,status,status_stat,stdev
1.0,8552.574422,1646.6284592765958,1346.238174,dryrun_duration_ms,1062.964473,0,47,47,0,2,1548.299705,2016.4610395999998,2568.8191359999996,7239.472837019997,CAP_BLOCKED,OK,1238.080735626368
1.0,3191.40648,1721.1427115,1629.0650385,dryrun_duration_ms,1102.677596,0,10,10,0,0,1935.5448380000003,2124.8202905999997,2658.1133852999988,3084.7478610600006,LIVE_OK,INSUFFICIENT_N,580.7677890892492
1.0,1251.667167,1206.4334153617021,1202.535312,dryrun_to_final_gate_ms,1059.641931,0,47,47,0,0,1209.869498,1229.1823334,1249.482121,1251.0544704600002,CAP_BLOCKED,OK,25.989134812910283
1.0,35.665465,3.7971712999999996,0.257401,dryrun_to_final_gate_ms,0.233866,0,10,10,0,1,0.26821075000000005,3.817671699999987,19.74156834999996,32.48068567,LIVE_OK,INSUFFICIENT_N,10.622771891645579
1.0,47.274641,4.8168199000000005,0.08331250000000001,final_gate_to_place_start_ms,0.0703,0,10,10,0,1,0.12970500000000001,4.904943199999984,26.08979209999995,43.03767122000001,LIVE_OK,INSUFFICIENT_N,14.152659119464515
1.0,8732.993433,4752.241066799999,4547.489825,place_duration_ms,2709.962131,0,10,10,0,0,5466.201337500001,6807.505700399999,7770.249566699998,8540.44465974,LIVE_OK,INSUFFICIENT_N,1793.891775037151
1.0,181.803965,76.54701109999999,79.7519525,place_to_result_persist_ms,15.115642,0,10,10,0,0,98.55830575,110.54486839999996,146.1744166999999,174.67805534000001,LIVE_OK,INSUFFICIENT_N,46.999045345366596
1.0,13567.620038986206,9687.754249572754,9149.886131286621,ws_to_live_ok_ms,7366.450071334839,0,10,10,0,0,11226.97001695633,11916.685199737547,12742.152619361876,13402.52655506134,LIVE_OK,INSUFFICIENT_N,1939.5113733644464
1.0,13559.83591079712,9663.223791122437,9130.840063095093,detect_to_live_ok_ms,7335.021018981934,0,10,10,0,0,11216.048955917358,11866.98908805847,12713.412499427794,13390.551228523254,LIVE_OK,INSUFFICIENT_N,1943.8883288591326
1.0,13548.261880874634,9638.478684425354,9114.620566368103,audit_to_live_ok_ms,7303.653001785278,0,10,10,0,0,11202.535390853882,11802.613949775694,12675.437915325163,13373.69708776474,LIVE_OK,INSUFFICIENT_N,1943.298302525702
1.0,10229.578018188477,6491.338109970093,6247.649073600769,request_to_live_ok_ms,4132.420063018799,0,10,10,0,0,7965.666234493256,8581.886720657349,9405.73236942291,10064.808888435364,LIVE_OK,INSUFFICIENT_N,1899.775936246914
1.0,10226.025415,6483.096654200001,6244.6263265,executor_to_live_ok_ms,4126.63294,0,10,10,0,0,7929.336217500001,8578.904388399998,9402.464901699997,10061.31331234,LIVE_OK,INSUFFICIENT_N,1895.7623691065917
