n,pct,stage
136,100.0,H3B_WS_RECEIVED
136,100.0,H3B_DETECTED
136,100.0,H3B_AUDIT_PERSIST_FINISHED
29,21.323529411764707,H3B_BRIDGE_FETCHED
2,1.4705882352941178,H3B_EXEC_REQUEST_CREATED
2,1.4705882352941178,H3B_EXECUTOR_RECEIVED
2,1.4705882352941178,H3B_DRYRUN_FINISHED
2,1.4705882352941178,H3B_FINAL_GATE_DECIDED
0,0.0,H3B_PLACE_FINISHED
0,0.0,LIVE_OK
