audit_id,audit_to_finished_ms,audit_to_request_ms,call_to_done_ms,detected_to_audited_ms,execution_id,post_ms,pre_submit_ms,queue_delay_ms,request_created_at,request_to_finished_ms,result_finished_at,shadow_to_request_ms,status,total_ms_timing
421030,9016.654,3087.993,5929,3.542,3b615f29-d760-4b2b-ab21-e6e1b891a268,786,1155,0,2026-07-29T08:28:28.900981+00:00,5928.661,2026-07-29T08:28:34.829642+00:00,3032.369,LIVE_OK,1149
421060,,,2384,,50f9fbdc-0bd4-426d-a467-50be512f099b,793,1175,0,2026-07-29T08:53:14.541270+00:00,2384.109,2026-07-29T08:53:16.925379+00:00,,CAP_BLOCKED,1169
421129,,,2580,,9ce581b4-b9b7-4386-8659-bd1cf409efd6,781,1379,1,2026-07-29T09:49:43.787848+00:00,2580.317,2026-07-29T09:49:46.368165+00:00,,CAP_BLOCKED,1374
421139,,,2424,,92722969-df00-4e28-bdd0-ff51b8a0bf0e,875,1222,0,2026-07-29T09:54:34.090850+00:00,2423.961,2026-07-29T09:54:36.514811+00:00,,CAP_BLOCKED,1219
421146,,,1969,,7b34c02b-7b78-46bc-be2e-783fd362d0a7,743,1969,0,2026-07-29T10:12:33.045501+00:00,1968.89,2026-07-29T10:12:35.014391+00:00,,API_FAILED,1966
421154,,,2442,,af1910bf-a058-4f50-9d12-41d60098d9fd,746,1727,0,2026-07-29T10:12:54.592244+00:00,2442.076,2026-07-29T10:12:57.034320+00:00,,CAP_BLOCKED,1724
421169,,,2222,,1df0d847-ef9f-4efd-8081-acec65ac49ed,702,1020,0,2026-07-29T10:14:43.398677+00:00,2221.5950000000003,2026-07-29T10:14:45.620272+00:00,,CAP_BLOCKED,1016
421184,,,2233,,528b599f-462d-4c7e-9434-2adb7dc6e960,690,1031,0,2026-07-29T10:17:09.781789+00:00,2232.612,2026-07-29T10:17:12.014401+00:00,,CAP_BLOCKED,1028
421195,,,2299,,bef1df56-c38e-494d-ab29-85171b7e4f79,777,1098,0,2026-07-29T10:18:43.817083+00:00,2299.468,2026-07-29T10:18:46.116551+00:00,,CAP_BLOCKED,1094
421201,,,2292,,c48d3821-fa62-4a37-b23e-3619af845b4c,814,1091,0,2026-07-29T10:19:09.011461+00:00,2292.005,2026-07-29T10:19:11.303466+00:00,,CAP_BLOCKED,1087
