coverage,max,mean,median,metric,min,missing,n_calculable,n_total,negatives,outliers,p75,p90,p95,p99,status_stat,stdev
1.0,46.248111,0.15641128647859923,0.087901,ws_to_detect_ms,0.03314,0,2056,2056,0,1,0.1023165,0.1325825,0.18400325,1.174276850000003,OK,1.0749461927100097
1.0,103.550406,2.6568174392023347,1.2058594999999999,detect_to_audit_gate_ms,0.175239,0,2056,2056,0,27,2.8372525,5.840899500000001,8.03083125,22.906928950000047,OK,6.4086459170365835
1.0,5597.535556,37.26067808754864,11.991437999999999,audit_gate_to_persist_ms,5.067361,0,2056,2056,0,147,18.045795750000003,36.9599355,109.89410999999998,458.5237141500035,OK,181.5678125872058
0.2772373540856031,3394.570827484131,198.82122745413352,164.94107246398926,audit_persist_to_bridge_fetch_ms,1.4801025390625,1486,570,2056,1,9,258.05187225341797,295.21474838256836,306.6143035888672,1725.4884433746768,OK,294.07213058926175
0.2772373540856031,3.642567,0.20219361578947367,0.16937649999999999,bridge_fetch_to_policy_ms,0.105745,1486,570,2056,0,0,0.197384,0.2360464,0.27805899999999995,0.8006602299999842,OK,0.219498325731731
0.0306420233463035,3859.159799,2571.5420697460318,3028.533383,policy_to_request_ms,14.266406,1993,63,2056,0,1,3043.3102865,3054.6435303999997,3062.729567,3385.447499480002,OK,1111.3258506188115
0.0306420233463035,,,,request_send_to_executor_receive_ms,,1993,63,2056,63,0,,,,,INSUFFICIENT_N,
0.0306420233463035,13.828026,1.2601485396825398,0.568847,executor_receive_to_dryrun_start_ms,0.408776,1993,63,2056,0,1,0.666227,2.8220060000000005,4.6194600999999995,9.445293120000018,OK,2.077941840090103
0.0306420233463035,8552.574422,1735.8228327142858,1397.424813,dryrun_duration_ms,1062.964473,1993,63,2056,0,1,1873.481515,2430.9712240000017,3131.981636299999,6782.741850940007,OK,1145.7081465991048
0.02772373540856031,1251.667167,995.4446006140352,1201.974278,dryrun_to_final_gate_ms,0.233866,1999,57,2056,0,7,1204.241174,1226.452757,1249.283201,1250.9212755600001,OK,458.04284795536597
0.0048638132295719845,47.274641,4.8168199000000005,0.08331250000000001,final_gate_to_place_start_ms,0.0703,2046,10,2056,0,1,0.12970500000000001,4.904943199999984,26.08979209999995,43.03767122000001,INSUFFICIENT_N,14.152659119464515
0.0048638132295719845,8732.993433,4752.241066799999,4547.489825,place_duration_ms,2709.962131,2046,10,2056,0,0,5466.201337500001,6807.505700399999,7770.249566699998,8540.44465974,INSUFFICIENT_N,1793.891775037151
0.0048638132295719845,181.803965,76.54701109999999,79.7519525,place_to_result_persist_ms,15.115642,2046,10,2056,0,0,98.55830575,110.54486839999996,146.1744166999999,174.67805534000001,INSUFFICIENT_N,46.999045345366596
0.0048638132295719845,13567.620038986206,9687.754249572754,9149.886131286621,ws_to_live_ok_ms,7366.450071334839,2046,10,2056,0,0,11226.97001695633,11916.685199737547,12742.152619361876,13402.52655506134,INSUFFICIENT_N,1939.5113733644464
0.0048638132295719845,13559.83591079712,9663.223791122437,9130.840063095093,detect_to_live_ok_ms,7335.021018981934,2046,10,2056,0,0,11216.048955917358,11866.98908805847,12713.412499427794,13390.551228523254,INSUFFICIENT_N,1943.8883288591326
0.0048638132295719845,13548.261880874634,9638.478684425354,9114.620566368103,audit_to_live_ok_ms,7303.653001785278,2046,10,2056,0,0,11202.535390853882,11802.613949775694,12675.437915325163,13373.69708776474,INSUFFICIENT_N,1943.298302525702
0.0048638132295719845,10229.578018188477,6491.338109970093,6247.649073600769,request_to_live_ok_ms,4132.420063018799,2046,10,2056,0,0,7965.666234493256,8581.886720657349,9405.73236942291,10064.808888435364,INSUFFICIENT_N,1899.775936246914
0.0048638132295719845,10226.025415,6483.096654200001,6244.6263265,executor_to_live_ok_ms,4126.63294,2046,10,2056,0,0,7929.336217500001,8578.904388399998,9402.464901699997,10061.31331234,INSUFFICIENT_N,1895.7623691065917
1.0,5599.10349,39.91749552675097,13.867324,detected_to_audited,5.279803,0,2056,2056,0,138,21.51187775,41.7831065,118.32473425,460.9152945500034,OK,181.95888458615573
0.0306420233463035,4126.596212387085,2787.369591849191,3182.194948196411,audit_to_request,54.228782653808594,1993,63,2056,0,0,3283.6586236953735,3318.648910522461,3331.7354440689087,3647.8593444824237,OK,1056.3841960635716
0.0306420233463035,10265.087127685547,3519.0149980878073,2709.3288898468018,request_to_finished,1911.6668701171875,1993,63,2056,0,2,3410.4784727096558,6490.1054859161395,8271.407246589659,10000.3129529953,OK,1879.45466390275
0.0306420233463035,13583.770990371704,6306.384589936998,5894.5441246032715,audit_to_finished,2598.210096359253,1993,63,2056,0,1,6605.337977409363,9345.55621147156,10273.876118659973,12471.913218498234,OK,2117.4499507503524
