attempted,before_kickoff,clv_calculated,created,due,expected,live_ok_orders,same_event,same_line,same_market,same_period,same_side,snapshot_found,valid_strict,window
0,0,0,0,0,0,0,0,0,0,0,0,0,0,POST_5M
0,0,0,0,0,0,0,0,0,0,0,0,0,0,POST_15M
0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLOSING
