class,league,n,stake,pnl,roi,clv_closing_median,clv_coverage
NON_FRIENDLY,UEFA Europa League,5,50.0,-25.76,-0.644,-2.1094914877044513,0.8
NON_FRIENDLY,CONMEBOL Copa Sudamericana,2,20.0,-19.990000000000002,-0.9995,-1.0245901639344246,0.5
NON_FRIENDLY,Colombia Cup,4,40.0,18.08,0.45199999999999996,,0.0
NON_FRIENDLY,UEFA Champions League,8,80.0,-14.290000000000001,-0.35725,,0.0
FRIENDLY,Club Friendly,39,390.0,-12.540000000000003,-0.03300000000000001,-2.700387843989599,0.15384615384615385
NON_FRIENDLY,Scotland Premier League,4,40.0,-0.6199999999999992,-0.03099999999999996,,0.0
NON_FRIENDLY,Paraguay Division 1 (Primera División),2,20.0,-0.29999999999999893,-0.014999999999999947,0.4077471967380175,0.5
NON_FRIENDLY,USA Major League Soccer,8,80.0,,,,0.0
NON_FRIENDLY,Ecuador Serie A (Copa Pilsener),2,20.0,,,,0.0
