window,n,events,roi,spearman,kendall,spearman_ci95_lo,spearman_ci95_hi,spearman_perm_p,clv_gt0_n,clv_gt0_roi,clv_le0_n,clv_le0_roi
POST_5M,62,51,-0.1267857142857143,0.06204154705446967,0.04603438713255685,-0.2327350161009852,0.34277888514642507,0.6307369263073692,8,0.16321428571428567,54,-0.19123015873015872
POST_15M,58,49,-0.1046232876712329,-0.0286323827107449,-0.008849557522123894,-0.3065924369123415,0.24722449650471384,0.8362163783621638,8,0.17446428571428568,50,-0.17084745762711864
CLOSING,69,57,-0.06269696969696971,0.2818746171102275,0.21003134796238246,0.04083499199246572,0.486623622019207,0.019598040195980403,20,0.5946428571428571,49,-0.4004128440366973
