window,field,n,events,coverage,mean_obs,median_obs,ci90_lo,ci90_hi,ci95_lo,ci95_hi,p_mean_gt_0,p_median_gt_0
POST_5M,clv_post_5m,74,63,0.2730627306273063,-1.27549707866748,-0.9200540270814628,-1.7155559867087564,-0.8534162111257005,-1.8041586976704898,-0.774526624587483,0.0,0.0
POST_15M,clv_post_15m,70,61,0.25830258302583026,-1.5822574415306052,-1.1974917989955591,-2.128592263378704,-1.0703878922747547,-2.2379420586583882,-0.9760849673095511,0.0,0.0
CLOSING,clv_closing,74,61,0.2730627306273063,-2.217883505947856,-1.6737515083037002,-3.0135936278083304,-1.4617589458259743,-3.1647872432369577,-1.3255923991658756,0.0,0.0
