group,n,events,stake,pnl,roi,ci90_lo,ci90_hi,ci95_lo,ci95_hi,p_gt_0,p_gt_0_05
FRIENDLY,121,96,626.0,-9.970000000000004,-0.015926517571884992,-0.14314917127071822,0.11614478114478113,-0.1684646739130435,0.1424143302180685,0.42184,0.20457
NON_FRIENDLY,123,93,550.0,-8.270000000000005,-0.015036363636363645,-0.16254789272030654,0.1341444866920152,-0.19056701030927833,0.16286971830985914,0.43632,0.23889
DELTA_NF_MINUS_F,,,,,0.0008901539355213473,-0.19607846421870812,0.1956355889471561,-0.2353712827842134,0.23344605829420972,0.50329,0.34049
