window,field,n,events,coverage,mean_obs,median_obs,ci90_lo,ci90_hi,ci95_lo,ci95_hi,p_mean_gt_0,p_median_gt_0
POST_5M,clv_post_5m,66,56,0.3173076923076923,-1.3457822760638307,-0.990487398254386,-1.8279527915873512,-0.8795331511739937,-1.923614169386402,-0.7906632804944445,0.0,0.0
POST_15M,clv_post_15m,60,52,0.28846153846153844,-1.593834319345946,-1.2194089863623303,-2.204104575573431,-1.0165749031661604,-2.3290156088692346,-0.9100970932155528,0.0,0.0
CLOSING,clv_closing,62,50,0.2980769230769231,-2.318801351767299,-1.7673795348163768,-3.2453720889482214,-1.4428649954966664,-3.42452525938179,-1.2872244679684826,1e-05,7e-05
