scenario,n,events,stake,pnl,roi,ci90_lo,ci90_hi,ci95_lo,ci95_hi,p_gt_0
A_drop_top1_winning_order,175,134,1030.0,-41.120000000000005,-0.039922330097087386,-0.14749568221070813,0.06893203883495147,-0.1681926406926407,0.09057603686635946,0.27259
B_drop_top3_winning_orders,173,132,1010.0,-62.230000000000004,-0.06161386138613862,-0.16811428571428574,0.04584168336673346,-0.18865702479338844,0.06719540229885057,0.17098
C_drop_top1_winning_event,175,134,1030.0,-41.120000000000005,-0.039922330097087386,-0.14750922509225092,0.06848451327433627,-0.1678193832599119,0.08998940677966104,0.26996
D_drop_top3_winning_events,173,132,1010.0,-62.230000000000004,-0.06161386138613862,-0.16820987654320987,0.045694444444444426,-0.18805882352941178,0.06650843881856543,0.17315
E_drop_top1_positive_league,171,131,998.0,-49.65000000000001,-0.049749498997996,-0.15945533769063183,0.060879446640316214,-0.18058823529411766,0.08314893617021275,0.22986
F_drop_top3_positive_leagues,151,116,862.0,-72.24000000000001,-0.08380510440835268,-0.19859374999999999,0.03227058823529412,-0.22036764705882353,0.05513483146067415,0.11773
