group,n,events,stake,pnl,roi,ci90_lo,ci90_hi,ci95_lo,ci95_hi,p_gt_0,p_gt_0_05
FRIENDLY,97,74,578.0,-15.050000000000004,-0.02603806228373703,-0.16213310580204776,0.11494230769230766,-0.18882845188284522,0.142277397260274,0.38002,0.18541
NON_FRIENDLY,79,61,462.0,-15.170000000000005,-0.03283549783549785,-0.20601593625498005,0.14038135593220338,-0.23945887445887445,0.17384792626728107,0.3764,0.21514
DELTA_NF_MINUS_F,,,,,-0.006797435551760819,-0.22984599286703802,0.21438500111788944,-0.27295296793601875,0.25690986166889784,0.47889,0.33431
