ts,day,era,cum_pnl,cum_stake,cum_roi,order_id
2026-07-28T15:30:25.309321+00:00,2026-07-28,stake10,-9.97,10.0,-0.9970000000000001,1931674091
2026-07-28T23:58:59.009030+00:00,2026-07-28,stake10,-0.4300000000000015,20.0,-0.021500000000000075,1933822208
2026-07-29T04:00:51.513933+00:00,2026-07-29,stake10,-10.420000000000002,30.0,-0.3473333333333334,1934662052
2026-07-29T07:51:53.000127+00:00,2026-07-29,stake10,-1.1300000000000026,40.0,-0.028250000000000063,1934994839
2026-07-29T08:28:28.900981+00:00,2026-07-29,stake10,-11.100000000000003,50.0,-0.22200000000000006,1935045057
2026-07-29T10:42:41.730156+00:00,2026-07-29,stake10,-21.090000000000003,60.0,-0.35150000000000003,1935402833
2026-07-29T10:59:25.391071+00:00,2026-07-29,stake10,-31.080000000000005,70.0,-0.44400000000000006,1935460146
2026-07-29T11:04:26.200252+00:00,2026-07-29,stake10,-22.970000000000006,80.0,-0.2871250000000001,1935475500
2026-07-29T11:28:10.704022+00:00,2026-07-29,stake10,-13.520000000000007,90.0,-0.15022222222222228,1935568718
2026-07-29T11:49:35.133640+00:00,2026-07-29,stake10,-23.520000000000007,100.0,-0.23520000000000008,1935642980
2026-07-29T12:11:53.027523+00:00,2026-07-29,stake10,-33.02000000000001,110.0,-0.30018181818181827,1935703108
2026-07-29T15:42:32.181242+00:00,2026-07-29,stake10,-24.03000000000001,120.0,-0.20025000000000007,1936401912
2026-07-29T16:23:30.244911+00:00,2026-07-29,stake10,-16.410000000000007,130.0,-0.12623076923076929,1936596042
2026-07-29T16:31:36.841850+00:00,2026-07-29,stake10,-10.760000000000007,140.0,-0.0768571428571429,1936637320
2026-07-29T16:48:59.271257+00:00,2026-07-29,stake10,-6.050000000000007,150.0,-0.04033333333333338,1936724778
2026-07-29T16:54:59.145778+00:00,2026-07-29,stake10,-16.020000000000007,160.0,-0.10012500000000005,1936750483
2026-07-29T17:39:07.730646+00:00,2026-07-29,stake10,-25.440000000000005,170.0,-0.14964705882352944,1936956073
2026-07-29T17:40:31.004337+00:00,2026-07-29,stake10,-17.140000000000004,180.0,-0.09522222222222225,1936961828
2026-07-29T17:41:00.541683+00:00,2026-07-29,stake10,-6.850000000000005,190.0,-0.03605263157894739,1936963700
2026-07-29T17:53:08.164033+00:00,2026-07-29,stake10,1.8299999999999947,200.0,0.009149999999999974,1937013393
2026-07-29T18:11:51.576684+00:00,2026-07-29,stake10,-8.160000000000005,210.0,-0.03885714285714288,1937095091
2026-07-29T20:18:14.945998+00:00,2026-07-29,stake10,-18.130000000000003,220.0,-0.08240909090909092,1937669560
2026-07-29T20:37:51.486287+00:00,2026-07-29,stake10,-8.460000000000003,230.0,-0.03678260869565218,1937747430
2026-07-29T22:21:51.539665+00:00,2026-07-29,stake10,-3.8000000000000025,240.0,-0.015833333333333345,1938082582
2026-07-30T04:00:17.656497+00:00,2026-07-30,stake10,5.419999999999998,250.0,0.02167999999999999,1939216476
2026-07-30T04:01:05.202427+00:00,2026-07-30,stake10,9.559999999999999,260.0,0.03676923076923076,1939218867
2026-07-30T04:01:06.049221+00:00,2026-07-30,stake10,18.229999999999997,270.0,0.0675185185185185,1939219764
2026-07-30T12:55:19.652400+00:00,2026-07-30,stake10,8.229999999999997,280.0,0.02939285714285713,1940422731
2026-07-30T13:11:38.660147+00:00,2026-07-30,stake10,-1.730000000000004,290.0,-0.005965517241379324,1940500788
2026-07-30T14:38:35.945217+00:00,2026-07-30,stake10,6.439999999999996,300.0,0.021466666666666655,1940764690
2026-07-30T15:52:08.669363+00:00,2026-07-30,stake10,-3.520000000000005,310.0,-0.011354838709677436,1941014331
2026-07-30T16:32:37.624430+00:00,2026-07-30,stake10,-13.490000000000006,320.0,-0.04215625000000002,1941229018
2026-07-30T18:52:55.667926+00:00,2026-07-30,stake10,-23.460000000000008,330.0,-0.07109090909090912,1941951294
2026-07-30T20:31:06.446705+00:00,2026-07-30,stake10,-12.560000000000008,340.0,-0.036941176470588255,1942404454
2026-07-30T20:54:20.976500+00:00,2026-07-30,stake10,-22.090000000000007,350.0,-0.06311428571428573,1942475356
2026-07-30T21:29:51.104449+00:00,2026-07-30,stake10,-16.67000000000001,360.0,-0.04630555555555558,1942567698
