day_utc,friendly_n,friendly_pnl,friendly_roi,non_friendly_n,non_friendly_pnl,non_friendly_roi
2026-07-28,0,,,3,-0.4300000000000015,-0.014333333333333384
2026-07-29,17,11.919999999999998,0.07011764705882352,7,-15.290000000000001,-0.21842857142857144
2026-07-30,7,3.619999999999999,0.051714285714285706,7,-15.64,-0.22342857142857145
2026-07-31,15,-19.87,-0.13246666666666668,16,24.630000000000003,0.1539375
2026-08-01,24,-10.99,-0.09640350877192982,21,-18.700000000000003,-0.23974358974358978
2026-08-02,12,-3.12,-0.13,9,3.18,0.17666666666666667
2026-08-03,1,1.71,0.855,9,3.38,0.845
2026-08-04,8,4.04,0.2885714285714286,11,0.7299999999999999,0.040555555555555546
2026-08-05,8,-6.76,-0.4225,3,2.0,0.3333333333333333
2026-08-06,10,6.390000000000001,0.39937500000000004,7,0.9700000000000002,0.12125000000000002
2026-08-07,7,-1.99,-0.995,6,,
