class,top1_event_stake_share,top3_event_stake_share,top5_event_stake_share,top1_event_id,top1_bookmaker,top1_bookmaker_share,top3_bookmakers,top1_gain_event,top1_gain_pnl,top1_loss_event,top1_loss_pnl
FRIENDLY,0.0664451827242525,0.14950166112956811,0.2159468438538206,"2026-07-31,188,1467",pin88,0.5229357798165137,"pin88,sing2,pmk","2026-07-31,1072,31238",10.59,"2026-07-31,29,10062448",-10.0
NON_FRIENDLY,0.0398406374501992,0.11952191235059761,0.199203187250996,"2026-07-31,117,140",pin88,0.5656565656565656,"pin88,bf,sharp","2026-08-01,33704,52173",10.9,"2026-07-30,1662,1617",-10.0
