scenario,n,pnl_total,roi_total,pnl_friendly,roi_friendly,pnl_non_friendly,roi_non_friendly,delta_roi_f_minus_nf,sign_vs_base_unchanged
baseline,208,-30.220000000000006,-0.029057692307692312,-15.050000000000004,-0.02603806228373703,-15.170000000000005,-0.03283549783549785,0.006797435551760819,True
remove_top1_gain,207,-41.120000000000005,-0.039922330097087386,-15.050000000000004,-0.02603806228373703,-26.070000000000004,-0.05767699115044249,0.031638928866705454,True
remove_top3_gains,205,-62.230000000000004,-0.06161386138613862,-36.160000000000004,-0.06480286738351256,-26.070000000000004,-0.05767699115044249,-0.0071258762330700665,False
remove_top5_gains,203,-82.71000000000001,-0.08354545454545455,-56.64,-0.10527881040892194,-26.070000000000004,-0.05767699115044249,-0.04760181925847945,False
remove_top1_loss,207,-20.220000000000006,-0.019631067961165056,-5.050000000000003,-0.00889084507042254,-15.170000000000005,-0.03283549783549785,0.02394465276507531,True
remove_top3_losses,205,-0.22000000000000774,-0.0002178217821782255,4.949999999999997,0.008870967741935477,-5.170000000000004,-0.011438053097345142,0.02030902083928062,True
remove_top1_league,196,-6.570000000000006,-0.0067871900826446336,-15.050000000000004,-0.02603806228373703,8.479999999999999,0.02174358974358974,-0.047781652027326774,False
remove_top3_leagues,182,-6.010000000000007,-0.006633554083885217,-15.050000000000004,-0.02603806228373703,9.039999999999997,0.02756097560975609,-0.05359903789349312,False
remove_dominant_bookmaker,95,21.24,0.04805429864253393,10.41,0.04164,10.829999999999998,0.05640624999999999,-0.014766249999999988,False
only_accounting_reconciled,176,-30.220000000000006,-0.029057692307692312,-15.050000000000004,-0.02603806228373703,-15.170000000000005,-0.03283549783549785,0.006797435551760819,True
only_clv_closing_valid_strict,62,-27.510000000000005,-0.08990196078431374,-13.820000000000002,-0.13549019607843138,-13.690000000000003,-0.06710784313725492,-0.06838235294117646,False
only_pre_submit_available,208,-30.220000000000006,-0.029057692307692312,-15.050000000000004,-0.02603806228373703,-15.170000000000005,-0.03283549783549785,0.006797435551760819,True
only_valid_event_id,208,-30.220000000000006,-0.029057692307692312,-15.050000000000004,-0.02603806228373703,-15.170000000000005,-0.03283549783549785,0.006797435551760819,True
